,id,station_name
4107611,303.0,San Pedro St at Hedding St
4108177,304.0,Jackson St at 5th St
4111361,305.0,Ryland Park
4119954,306.0,Saint James Park
4121746,307.0,SAP Center
4123400,308.0,San Pedro Square
4130176,309.0,San Jose City Hall
4135068,310.0,San Fernando St at 4th St
4152708,311.0,Paseo De San Antonio at 2nd St
4158784,312.0,San Jose Diridon Station
4171892,313.0,Almaden Blvd at San Fernando St
4176070,314.0,Santa Clara St at Almaden Blvd
4180588,315.0,Market St at 45th St
4184566,316.0,1st St at San Carlos Ave
4184567,316.0,1st St at San Carlos St
4184569,316.0,San Salvador St at 1st St
4187207,317.0,San Salvador St at 9th St
4195738,318.0,San Carlos St at Market St
4197668,321.0,5th St at Folsom
4197669,321.0,Folsom St at 5th St
4226436,323.0,Broadway at Kearny
4245310,324.0,Union Square (Powell St at Post St)
4268278,327.0,5th St at San Salvador St
4273332,329.0,San Jose Depot
4273337,336.0,Potrero Ave and Mariposa St
4284353,337.0,Webster St at 19th St
4289736,338.0,13th St at Franklin St
4296529,339.0,Jackson St at 11th St
4300213,340.0,Harmon St at Adeline St
4304497,341.0,Fountain Alley at S 2nd St
4311437,343.0,Bryant St at 2nd St
4336980,344.0,16th St Depot
4337134,345.0,Hubbell St at 16th St
4359211,349.0,Howard St at Mary St
4377761,350.0,8th St at Brannan St
4413872,351.0,10th St at University Ave
4419604,352.0,Goettingen St at Bacon St
4420158,355.0,23rd St at Tennessee St
4440113,356.0,Valencia St at Clinton Park
4457714,357.0,2nd St at Julian St
4464935,358.0,Williams Ave at 3rd St
4465827,359.0,Williams Ave at Apollo St
4466342,360.0,Newhall St at 3rd St
4467931,361.0,Mendell St at Fairfax Ave
4469360,362.0,Lane St at Revere Ave
4470557,363.0,Salesforce Transit Center (Natoma St at 2nd St)
4495545,364.0,China Basin St at 3rd St
4515607,365.0,Turk St at Fillmore St
4524063,367.0,Outside Lands (Temporary Station)
4524365,368.0,Myrtle St at Polk St
4539119,369.0,Hyde St at Post St
4550961,370.0,Jones St at Post St
4564265,371.0,Lombard St at Columbus Ave
4588357,372.0,Madison St at 17th St
4596122,373.0,Potrero del Sol Park (25th St at Utah St)
4601232,375.0,Grove St at Masonic Ave
4607115,376.0,Illinois St at 20th St
4616822,377.0,Fell St at Stanyan St
4637032,378.0,Empire St at 7th St
4637034,378.0,7th St at Empire St
4638187,380.0,Masonic Ave at Turk St
4642771,381.0,20th St at Dolores St
4648313,383.0,Golden Gate Ave at Franklin St
4656356,384.0,Jackson St at Polk St
4667250,385.0,Woolsey St at Sacramento St
4676605,386.0,24th St at Bartlett St
4697285,387.0,Randall St at Chenery St
4699148,388.0,Backesto Park (Jackson St at 13th St)
4700075,389.0,Taylor St at 9th St
4701346,390.0,Indiana St at Cesar Chavez St
4703550,391.0,1st St at Younger Ave
4703810,392.0,Sonora Ave at 1st St
4704287,393.0,Emory St at The Alameda
4704288,393.0,Asbury St at The Alameda
4704893,394.0,10th St at Empire St
4705350,395.0,Kerley Dr at Rosemary St
4705997,396.0,Metro Dr at Technology Dr
4706604,397.0,Gish Rd at 1st St
4707065,398.0,Leavenworth St at Broadway
4713484,399.0,Bay St at Fillmore St
4725391,400.0,Buchanan St at North Point St
4740810,401.0,Skyport Dr at Technology Dr
4741311,402.0,Raymond Bernal Jr Memorial Park (8th St at Hedding St)
4742817,403.0,10th St at Mission St
4743812,404.0,21st St at Santa Clara St
4743968,405.0,Sunol St at San Carlos St
4745292,406.0,Parkmoor Ave at Race St
4746129,407.0,Bird Ave at Coe Ave
4746463,408.0,MTL-ECO5-01
4746515,409.0,2100 Powell St
4748518,410.0,Illinois St at Cesar Chavez St
4750275,411.0,Octavia Blvd at Page St
4758772,412.0,Glen Park BART Station
4760439,413.0,Balboa Park BART Station
4760752,415.0,Delmas Ave at Virginia St
4761492,416.0,Auzerais Ave at Los Gatos Creek Trail
4762351,417.0,Park Ave at Race St
4762907,418.0,17th St at Santa Clara St
4763232,419.0,Fern St at Polk St
4771480,420.0,SF Test Station
4771500,421.0,23rd St at Taylor St
4771595,422.0,Stockton Ave at Lenzen Ave
4772024,423.0,South San Jose State (7th St at Humboldt St)
4772576,424.0,Greenwich St at Webster St
4776581,425.0,Bird Ave at Willow St
4777025,426.0,San Carlos St at Meridian Ave
4778545,427.0,Auzerais Ave at Lincoln Ave
4778792,428.0,Howard workshop - Station in a Box
4778801,429.0,Prototype Lab
4778809,431.0,Judson Ave at Gennessee St
4779266,432.0,Quesada Ave at 3rd St
4779372,433.0,Gennessee St at Monterey Blvd
4780192,434.0,Carroll Ave at 3rd St
4780318,435.0,Jennings St at Revere Ave
4780398,436.0,McKinnon Ave at 3rd St
4780567,437.0,Evans Ave at Mendell St
4780632,438.0,Oakdale Ave at Phelps St
4780805,439.0,Post St at Divisadero St
4781987,440.0,Carl St at Cole St
4785317,441.0,Chestnut St at Van Ness Ave
4788645,442.0,Newbury Park Dr at King Rd
4788756,443.0,3rd St at Keyes St
4789949,444.0,Mercado Way at Sierra Rd
4789956,445.0,Natoma St at New Montgomery St
4794770,446.0,Mint St at Mission St
4798403,449.0,16th Depot Bike Fleet Station
4798475,453.0,Brannan St at 4th St
4803176,454.0,7th Ave at Cabrillo St
4805217,455.0,McAllister St at Arguello Blvd
4806114,456.0,Arguello Blvd at Geary Blvd
4807164,458.0,Frederick St at Arguello Blvd
4807297,459.0,Utah St at 24th St
4810935,460.0,Terry Francois Blvd at Warriors Way
4816863,461.0,Terry Francois Blvd at Mission Bay Blvd N
4820728,462.0,Cruise Terminal at Pier 27
4827014,463.0,Heron's Head Park
4827163,465.0,San Francisco Caltrain Station (King St at 4th St)
4836036,466.0,5th Ave at Anza St
4836551,467.0,Brannan St at Colin P Kelly Jr St
4839410,468.0,Grove St at Gough St
4841927,469.0,Ellis St at Pierce St
4842167,470.0,N 14th St at E Santa Clara St
4842323,471.0,Turk Blvd at Stanyan St
4842454,472.0,Columbia Ave at Bird Ave
4842506,473.0,Willow St at Blewett Ave
4842602,474.0,14th Ave at Geary Blvd
4842980,475.0,22nd St at William St
4843083,476.0,19th St at William St
4843145,477.0,17th Ave at Geary Blvd
4843412,478.0,Greenwich St at Franklin St
4843802,480.0,Steiner St at California St
4844355,481.0,O'Farrell St at Masonic Ave
4844666,482.0,Brannan St at 7th St
4846705,483.0,7th St at King St
4847881,484.0,Philly Demo
4847885,485.0,Funston Ave at Fulton St
4848300,486.0,Arguello Blvd at Edward St
4848372,487.0,Powell St at Columbus Ave
4849092,488.0,Egbert Ave at Jennings St
4849120,489.0,Funston Ave at Clement St
4849233,490.0,9th Ave at Geary Blvd
4849333,491.0,Devine St at San Pedro St
4849382,492.0,Webster St at Clay St
4849484,493.0,Folsom St at 7th St
4850232,494.0,Park Ave at Laurel Grove Ln
4850263,495.0,St James St at 9th St
4850309,498.0,Frida Kahlo Way at Cloud Cir
